index,Source,Brand,Campaign,Review,Refined_Review,Polarity_Vader
0,Cardekho,Hector,Paytm Voucher,The best car Extremely luxurious comfortable drive instant pickup best customer service best Even customer service Is good,the best car extremely luxurious comfortable drive instant pickup best customer service best even customer service is good,1
1,Cardekho,Hector,Paytm Voucher,Anubhav Singh Great Experience If looking buy Hector better feel Luxury Experience Just amazing SUV segment,if looking buy   better feel   just amazing   segment,1
2,Cardekho,Hector,Paytm Voucher,You love comfort car enjoy city driving highway,you love comfort car enjoy city driving highway,1
3,Cardekho,Hector,Paytm Voucher,decided buy MG HECTOR This car absolutely perfect riding performance comfortable age,decided buy   hector this car absolutely perfect riding performance comfortable age,1
4,Cardekho,Hector,Paytm Voucher,The car much comfortable drive good legroom space passenger,the car much comfortable drive good legroom space passenger,1
5,Cardekho,Hector,Paytm Voucher,The ride quality excellent cannot asking,the ride quality excellent cannot asking,1
6,Cardekho,Hector,Paytm Voucher,Altho Rahul D Hector Good Than Hector Plus It best SUV price lakh,plus it best   price lakh,1
7,Cardekho,Hector,Paytm Voucher,MG Hector plus congested Hector best,plus congested   best,1
8,Cardekho,Hector,Paytm Voucher,Raja Upadhyay Nothing Like MG Hector Best car styling comfort convenience long drive lot safety feature,like     best car styling comfort convenience long drive lot safety feature,1
9,Cardekho,Hector,Paytm Voucher,Krusna Prasad Jena Mileage Of CVT Hector Very poor mileage kmpl city around kmpl highway petrol version CVT,poor mileage kmpl city around kmpl highway petrol version,-1
10,Cardekho,Hector,Paytm Voucher,All car shit price point harrier etc Dikshant Kumar Value For Money In mid range Hector value money amazing top line luxurious feature,all car shit price point harrier etc   in mid range   value money amazing top line luxurious feature,1
11,Cardekho,Hector,Paytm Voucher,Amit Patel Worst SUV Petrol car give mileage kmpl city highway kmpl,petrol car give mileage kmpl city highway kmpl,0
12,Cardekho,Hector,Paytm Voucher,Amit Chopra Bad Mileage Very bad mileage DCT version,very bad mileage   version,-1
13,Cardekho,Hector,Paytm Voucher,Till got best performance Hector,got best performance,1
14,Cardekho,Hector,Paytm Voucher,also getting decent mileage km L hig Raoof Shihab Very Poor Handling Overtake karte Waqt gadi line se bhatakti hai jaise hi speed Ho overtake kr rahe hai gadi line ke bahar jati hai,also getting decent mileage km l hig   karte   gadi line se bhatakti hai jaise hi speed ho overtake kr rahe hai gadi line ke bahar jati hai,0
15,Cardekho,Hector,Paytm Voucher,Rohan Borkar Extremely luxurious The best car ever seen price point,extremely luxurious the best car ever seen price point,1
16,Cardekho,Hector,Paytm Voucher,Extremely luxurious comfortable drive instant pickup best customer service best treat customer God Dr Devika Mehra My Worst Experience MG Hector Sharp DCT This people quite skeptical buying MG Hector,extremely luxurious comfortable drive instant pickup best customer service best treat customer god dr     this people quite skeptical buying,1
17,Cardekho,Hector,Paytm Voucher,Frankly speaking feature car great comfort provides overall good check performance car mileage car Sreelakshmi R Nath Awesome Product Awesome one stylish one totally loved,frankly speaking feature car great comfort provides overall good check performance car mileage car   awesome one stylish one totally loved,1
18,Cardekho,Hector,Paytm Voucher,The best car within,the best car within,1
19,Cardekho,Hector,Paytm Voucher,A luxurious car lot feature,a luxurious car lot feature,0
20,Cardekho,Hector,Paytm Voucher,Drive comfortable,drive comfortable,1
21,Cardekho,Hector,Paytm Voucher,Literally best segment without doubt,literally best segment without doubt,1
22,Cardekho,Hector,Paytm Voucher,Abhishek Koundal Love Mg Hector seated MG Hector give star rating know best car,seated     give star rating know best car,1
23,Cardekho,Hector,Paytm Voucher,Arpit Shukla Best Features In Low Price The best car low price,best features in   price the best car low price,1
24,Cardekho,Hector,Paytm Voucher,Benny Stylish SUV MG Hector much feature great look nice comfort good cushioning leather seat,much feature great look nice comfort good cushioning leather seat,1
25,Cardekho,Hector,Paytm Voucher,It comfortable car full space,it comfortable car full space,1
26,Cardekho,Hector,Paytm Voucher,Very best facility,very best facility,1
27,Cardekho,Hector,Paytm Voucher,MG technology best,technology best,1
28,Cardekho,Hector,Paytm Voucher,Anubhav Singh Anubhav Singh Anubhav Singh Great Experience If looking buy Hector better feel Luxury Experience Just amazing SUV segment,if looking buy   better feel   just amazing   segment,1
29,Cardekho,Hector,Paytm Voucher,recommend everyone consider car least Hitesh Yagnik Great Experience If looking buy Hector better feel Luxury Experience Just amazing SUV segment,recommend everyone consider car least   if looking buy   better feel   just amazing   segment,1
30,Cardekho,Hector,Paytm Voucher,Altho Rahul D Rahul D Rahul D Hector Good Than Hector Plus It best SUV price lakh,plus it best   price lakh,1
31,Cardekho,Hector,Paytm Voucher,Shanjal Khan Hector Good Than Hector Plus It best SUV price lakh,plus it best   price lakh,1
32,Cardekho,Hector,Paytm Voucher,Raja Upadhyay Raja Upadhyay Raja Upadhyay Nothing Like MG Hector Best car styling comfort convenience long drive lot safety feature,like     best car styling comfort convenience long drive lot safety feature,1
33,Cardekho,Hector,Paytm Voucher,Akshat Bhatnagar Nothing Like MG Hector Best car styling comfort convenience long drive lot safety feature,like     best car styling comfort convenience long drive lot safety feature,1
34,Cardekho,Hector,Paytm Voucher,Krusna Prasad Jena Krusna Prasad Jena Krusna Prasad Jena Mileage Of CVT Hector Very poor mileage kmpl city around kmpl highway petrol version CVT,poor mileage kmpl city around kmpl highway petrol version,-1
35,Cardekho,Hector,Paytm Voucher,Vinay Kabra Mileage Of CVT Hector Very poor mileage kmpl city around kmpl highway petrol version CVT,vinay kabra mileage     poor mileage kmpl city around kmpl highway petrol version,-1
36,Cardekho,Hector,Paytm Voucher,All car shit price point harrier etc Dikshant Kumar Dikshant Kumar Dikshant Kumar Value For Money In mid range Hector value money amazing top line luxurious feature,all car shit price point harrier etc   in mid range   value money amazing top line luxurious feature,1
37,Cardekho,Hector,Paytm Voucher,Amit Patel Value For Money In mid range Hector value money amazing top line luxurious feature,for   in mid range   value money amazing top line luxurious feature,1
38,Cardekho,Hector,Paytm Voucher,Amit Patel Amit Patel Amit Patel Worst SUV Petrol car give mileage kmpl city highway kmpl,petrol car give mileage kmpl city highway kmpl,0
39,Cardekho,Hector,Paytm Voucher,Amit Chopra Worst SUV Petrol car give mileage kmpl city highway kmpl,petrol car give mileage kmpl city highway kmpl,0
40,Cardekho,Hector,Paytm Voucher,Amit Chopra Amit Chopra Amit Chopra Bad Mileage Very bad mileage DCT version,very bad mileage   version,-1
41,Cardekho,Hector,Paytm Voucher,Abhishek Bad Mileage Very bad mileage DCT version,very bad mileage   version,-1
42,Cardekho,Hector,Paytm Voucher,also getting decent mileage km L hig Raoof Shihab Good Performance And Low Maintenance using MG Hector diesel sharp variant since launch MG Hector,also getting decent mileage km l hig   and   maintenance using     diesel sharp variant since launch,0
43,Cardekho,Hector,Paytm Voucher,also getting decent mileage km L hig Raoof Shihab Raoof Shihab Raoof Shihab Very Poor Handling Overtake karte Waqt gadi line se bhatakti hai jaise hi speed Ho overtake kr rahe hai gadi line ke bahar jati hai,also getting decent mileage km l hig   karte   gadi line se bhatakti hai jaise hi speed ho overtake kr rahe hai gadi line ke bahar jati hai,0
44,Cardekho,Hector,Paytm Voucher,Rohan Borkar Rohan Borkar Rohan Borkar Extremely luxurious The best car ever seen price point,extremely luxurious the best car ever seen price point,1
45,Cardekho,Hector,Paytm Voucher,Extremely luxurious comfortable drive instant pickup best customer service best treat customer God Dr Devika Mehra Extremely luxurious The best car ever seen price point,extremely luxurious comfortable drive instant pickup best customer service best treat customer god dr   extremely luxurious the best car ever seen price point,1
46,Cardekho,Hector,Paytm Voucher,Extremely luxurious comfortable drive instant pickup best customer service best treat customer God Dr Devika Mehra Dr Devika Mehra Dr Devika Mehra My Worst Experience MG Hector Sharp DCT This people quite skeptical buying MG Hector,extremely luxurious comfortable drive instant pickup best customer service best treat customer god dr   dr   dr     this people quite skeptical buying,1
47,Cardekho,Hector,Paytm Voucher,Frankly speaking feature car great comfort provides overall good check performance car mileage car Sreelakshmi R Nath My Worst Experience MG Hector Sharp DCT This people quite skeptical buying MG Hector,frankly speaking feature car great comfort provides overall good check performance car mileage car     this people quite skeptical buying,1
48,Cardekho,Hector,Paytm Voucher,Frankly speaking feature car great comfort provides overall good check performance car mileage car Sreelakshmi R Nath Sreelakshmi R Nath Sreelakshmi R Nath Awesome Product Awesome one stylish one totally loved,frankly speaking feature car great comfort provides overall good check performance car mileage car   r nath   awesome one stylish one totally loved,1
49,Cardekho,Hector,Paytm Voucher,Abhishek Koundal Abhishek Koundal Abhishek Koundal Love Mg Hector seated MG Hector give star rating know best car,seated     give star rating know best car,1
50,Cardekho,Hector,Paytm Voucher,Arpit Shukla Love Mg Hector seated MG Hector give star rating know best car,love mg   seated     give star rating know best car,1
51,Cardekho,Hector,Paytm Voucher,Arpit Shukla Arpit Shukla Arpit Shukla Best Features In Low Price The best car low price,best features in   price the best car low price,1
52,Cardekho,Hector,Paytm Voucher,Benny Best Features In Low Price The best car low price,in   price the best car low price,1
53,Cardekho,Hector,Paytm Voucher,Benny Benny Benny Stylish SUV MG Hector much feature great look nice comfort good cushioning leather seat,much feature great look nice comfort good cushioning leather seat,1
54,Cardekho,Hector,Paytm Voucher,This SUV need sport mode available performance Tata Harrier Gagan Sheenh Stylish SUV MG Hector much feature great look nice comfort good cushioning leather seat,this   need sport mode available performance         much feature great look nice comfort good cushioning leather seat,1
55,Twitter,Hector,ItsAHumanThing,"Say #MgHector ,#TataHarrier, #JeepCompass and #CitroenC5 are brothers as they share the same 2.0L Multijet Diesel E… https://t.co/PmYUAkKfe2",Say Mg      and   are brothers as they share the same 20L Multijet   E httpstcoPmYUAkKfe2,1
56,Twitter,Hector,ItsAHumanThing,"Base model price of #Alcazar should be 1 lakh more than base model of #Creta.
As we can see price of base… https://t.co/lOEJMUdvie","Base model price of   should be 1 lakh more than base model of Creta
As we can see price of base httpstcolOEJMUdvie",0
57,Twitter,Hector,ItsAHumanThing,"@MGMotorIn has increased prices of the entire #Hector and #HectorPlus range. Depending on the variant and model, on… https://t.co/v52xePEMgy",  has increased prices of the entire   and   range Depending on the variant and model on httpstcov52xePEMgy,1
58,Twitter,Hector,ItsAHumanThing,"@MGMotorIn has now sold over 50,000 units of the Hector SUVs in India in 21 months. 31,585 units were sold in FY202… https://t.co/56lqdgbZU2",  has now sold over 50000 units of the   SUVs in   in 21 months 31585 units were sold in FY202 httpstco56lqdgbZU2,0
59,Twitter,Hector,ItsAHumanThing,#seltos #kia #kiaseltos #creta #k #kiamotors #xuv #fortuner #scorpio #kiario #harrier #i #picanto #nexon #brezza… https://t.co/OnixYxDYFQ,seltos kia kiaseltos creta k kiamotors xuv fortuner scorpio kiario harrier i picanto nexon brezza httpstcoOnixYxDYFQ,-1
60,Twitter,Hector,ItsAHumanThing,"#MGHector #Cars 
MG Motor India has raised Hector and Hector Plus SUVs prices for the third time this year due to i… https://t.co/UvsEYAEHAB","   Cars 
  Motor   has raised   and   Plus SUVs prices for the third time this year due to i httpstcoUvsEYAEHAB",0
61,Twitter,Hector,ItsAHumanThing,We concluded the weekend with a blast when this Crystal Black MG Hector PLUS drove in for a 9H Ceramic Coating pain… https://t.co/YogWR10Y5s,We concluded the weekend with a blast when this       PLUS drove in for a 9H Ceramic Coating pain httpstcoYogWR10Y5s,-1
62,Twitter,Hector,ItsAHumanThing,@hormazdsorabjee When cars like Toyota didn’t upgrade their Innova.. what a scope it gave many players to dominate #mghector  #hyundai #kia,hormazdsorabjee When cars like   didnt upgrade their Innova what a scope it gave many players to dominate mghector  hyundai kia,-1
63,Twitter,Hector,ItsAHumanThing,"This Easter, let there be hope, peace and love. The MG family, wishes you all a very happy and blessed Easter.… https://t.co/KNN1cotEzB",This Easter let there be hope peace and love The   family wishes you all a very happy and blessed Easter httpstcoKNN1cotEzB,1
64,Twitter,Hector,ItsAHumanThing,"माझ्या #MGHector ला नाव ठेवायच नाही👊

#लाडका आणि ती, या दोनच गोष्टी मला #मनसे आवडतात😇 https://t.co/atvJT9tkdX","मझय    ल नव ठवयच नह

लडक आण त य दनच गषट मल मनस आवडतत httpstcoatvJT9tkdX",0
65,Twitter,Hector,ItsAHumanThing,Auto-updates daily Ep-35 is Live on the YouTube channel of Motoro-updates click here to watch:… https://t.co/2nAQU0ylSM,Autoupdates daily Ep35 is   on the   channel of Motoroupdates click here to watch httpstco2nAQU0ylSM,0
66,Twitter,Hector,ItsAHumanThing,"The Innova Crysta has been in the game since long. But with MG pushing out it's Hector Plus, the veteran is in for… https://t.co/xg2rkccJ6d",The   has been in the game since long But with   pushing out its   Plus the veteran is in for httpstcoxg2rkccJ6d,0
67,Twitter,Hector,ItsAHumanThing,It turns out that March 2021 was a bright period for the sales of #MGHector in #India. So how was that?… https://t.co/pq0y8g8nGK,It turns out that March 2021 was a bright period for the sales of    in   So how was that httpstcopq0y8g8nGK,1
68,Twitter,Hector,ItsAHumanThing,@anandmahindra @bhash It should be in category of Jeeps....for sedan car category it always #HondaCity...In FULL FL… https://t.co/dwEiuycmvH,anandmahindra bhash It should be in category of Jeepsfor sedan car category it always  In   FL httpstcodwEiuycmvH,0
69,Twitter,Hector,ItsAHumanThing,Volkswagen Taigun Compact SUV’s production version leaked ahead of official reveal - https://t.co/DAcIIUP7Cr… https://t.co/8bIvxzE6FN,  SUVs production version leaked ahead of official reveal  httpstcoDAcIIUP7Cr httpstco8bIvxzE6FN,-1
70,Twitter,Hector,ItsAHumanThing,"Say #MgHector ,#TataHarrier, #JeepCompass and #CitroenC5 are brothers as they share the same 2.0L Multijet Diesel E… https://t.co/PmYUAkKfe2",Say Mg      and   are brothers as they share the same 20L Multijet   E httpstcoPmYUAkKfe2,1
71,Twitter,Hector,ItsAHumanThing,"Base model price of #Alcazar should be 1 lakh more than base model of #Creta.
As we can see price of base… https://t.co/lOEJMUdvie","Base model price of   should be 1 lakh more than base model of Creta
As we can see price of base httpstcolOEJMUdvie",0
72,Twitter,Hector,ItsAHumanThing,"@MGMotorIn has increased prices of the entire #Hector and #HectorPlus range. Depending on the variant and model, on… https://t.co/v52xePEMgy",  has increased prices of the entire   and   range Depending on the variant and model on httpstcov52xePEMgy,1
73,Twitter,Hector,ItsAHumanThing,"@MGMotorIn has now sold over 50,000 units of the Hector SUVs in India in 21 months. 31,585 units were sold in FY202… https://t.co/56lqdgbZU2",  has now sold over 50000 units of the   SUVs in   in 21 months 31585 units were sold in FY202 httpstco56lqdgbZU2,0
74,Twitter,Hector,ItsAHumanThing,#seltos #kia #kiaseltos #creta #k #kiamotors #xuv #fortuner #scorpio #kiario #harrier #i #picanto #nexon #brezza… https://t.co/OnixYxDYFQ,seltos kia kiaseltos creta k kiamotors xuv fortuner scorpio kiario harrier i picanto nexon brezza httpstcoOnixYxDYFQ,-1
75,Twitter,Hector,ItsAHumanThing,"#MGHector #Cars 
MG Motor India has raised Hector and Hector Plus SUVs prices for the third time this year due to i… https://t.co/UvsEYAEHAB","   Cars 
  Motor   has raised   and   Plus SUVs prices for the third time this year due to i httpstcoUvsEYAEHAB",0
76,Twitter,Hector,ItsAHumanThing,We concluded the weekend with a blast when this Crystal Black MG Hector PLUS drove in for a 9H Ceramic Coating pain… https://t.co/YogWR10Y5s,We concluded the weekend with a blast when this       PLUS drove in for a 9H Ceramic Coating pain httpstcoYogWR10Y5s,-1
77,Twitter,Hector,ItsAHumanThing,@hormazdsorabjee When cars like Toyota didn’t upgrade their Innova.. what a scope it gave many players to dominate #mghector  #hyundai #kia,hormazdsorabjee When cars like   didnt upgrade their Innova what a scope it gave many players to dominate mghector  hyundai kia,-1
78,Twitter,Hector,ItsAHumanThing,"This Easter, let there be hope, peace and love. The MG family, wishes you all a very happy and blessed Easter.… https://t.co/KNN1cotEzB",This Easter let there be hope peace and love The   family wishes you all a very happy and blessed Easter httpstcoKNN1cotEzB,1
79,Twitter,Hector,ItsAHumanThing,"माझ्या #MGHector ला नाव ठेवायच नाही👊

#लाडका आणि ती, या दोनच गोष्टी मला #मनसे आवडतात😇 https://t.co/atvJT9tkdX","मझय    ल नव ठवयच नह

लडक आण त य दनच गषट मल मनस आवडतत httpstcoatvJT9tkdX",0
80,Twitter,Hector,ItsAHumanThing,Auto-updates daily Ep-35 is Live on the YouTube channel of Motoro-updates click here to watch:… https://t.co/2nAQU0ylSM,Autoupdates daily Ep35 is   on the   channel of Motoroupdates click here to watch httpstco2nAQU0ylSM,0
81,Twitter,Hector,ItsAHumanThing,"The Innova Crysta has been in the game since long. But with MG pushing out it's Hector Plus, the veteran is in for… https://t.co/xg2rkccJ6d",The   has been in the game since long But with   pushing out its   Plus the veteran is in for httpstcoxg2rkccJ6d,0
82,Twitter,Hector,ItsAHumanThing,It turns out that March 2021 was a bright period for the sales of #MGHector in #India. So how was that?… https://t.co/pq0y8g8nGK,It turns out that March 2021 was a bright period for the sales of    in   So how was that httpstcopq0y8g8nGK,1
83,Twitter,Hector,ItsAHumanThing,@anandmahindra @bhash It should be in category of Jeeps....for sedan car category it always #HondaCity...In FULL FL… https://t.co/dwEiuycmvH,anandmahindra bhash It should be in category of Jeepsfor sedan car category it always  In   FL httpstcodwEiuycmvH,0
84,Twitter,Hector,ItsAHumanThing,Volkswagen Taigun Compact SUV’s production version leaked ahead of official reveal - https://t.co/DAcIIUP7Cr… https://t.co/8bIvxzE6FN,  SUVs production version leaked ahead of official reveal  httpstcoDAcIIUP7Cr httpstco8bIvxzE6FN,-1
85,Twitter,Hector,ItsAHumanThing,"Say #MgHector ,#TataHarrier, #JeepCompass and #CitroenC5 are brothers as they share the same 2.0L Multijet Diesel E… https://t.co/PmYUAkKfe2",Say Mg      and   are brothers as they share the same 20L Multijet   E httpstcoPmYUAkKfe2,1
86,Twitter,Hector,ItsAHumanThing,"Base model price of #Alcazar should be 1 lakh more than base model of #Creta.
As we can see price of base… https://t.co/lOEJMUdvie","Base model price of   should be 1 lakh more than base model of Creta
As we can see price of base httpstcolOEJMUdvie",0
87,Twitter,Hector,ItsAHumanThing,"@MGMotorIn has increased prices of the entire #Hector and #HectorPlus range. Depending on the variant and model, on… https://t.co/v52xePEMgy",  has increased prices of the entire   and   range Depending on the variant and model on httpstcov52xePEMgy,1
88,Twitter,Hector,ItsAHumanThing,"@MGMotorIn has now sold over 50,000 units of the Hector SUVs in India in 21 months. 31,585 units were sold in FY202… https://t.co/56lqdgbZU2",  has now sold over 50000 units of the   SUVs in   in 21 months 31585 units were sold in FY202 httpstco56lqdgbZU2,0
89,Twitter,Hector,ItsAHumanThing,#seltos #kia #kiaseltos #creta #k #kiamotors #xuv #fortuner #scorpio #kiario #harrier #i #picanto #nexon #brezza… https://t.co/OnixYxDYFQ,seltos kia kiaseltos creta k kiamotors xuv fortuner scorpio kiario harrier i picanto nexon brezza httpstcoOnixYxDYFQ,-1
90,Twitter,Hector,ItsAHumanThing,"#MGHector #Cars 
MG Motor India has raised Hector and Hector Plus SUVs prices for the third time this year due to i… https://t.co/UvsEYAEHAB","   Cars 
  Motor   has raised   and   Plus SUVs prices for the third time this year due to i httpstcoUvsEYAEHAB",0
91,Twitter,Hector,ItsAHumanThing,We concluded the weekend with a blast when this Crystal Black MG Hector PLUS drove in for a 9H Ceramic Coating pain… https://t.co/YogWR10Y5s,We concluded the weekend with a blast when this       PLUS drove in for a 9H Ceramic Coating pain httpstcoYogWR10Y5s,-1
92,Twitter,Hector,ItsAHumanThing,@hormazdsorabjee When cars like Toyota didn’t upgrade their Innova.. what a scope it gave many players to dominate #mghector  #hyundai #kia,hormazdsorabjee When cars like   didnt upgrade their Innova what a scope it gave many players to dominate mghector  hyundai kia,-1
93,Twitter,Hector,ItsAHumanThing,"This Easter, let there be hope, peace and love. The MG family, wishes you all a very happy and blessed Easter.… https://t.co/KNN1cotEzB",This Easter let there be hope peace and love The   family wishes you all a very happy and blessed Easter httpstcoKNN1cotEzB,1
94,Twitter,Hector,ItsAHumanThing,"माझ्या #MGHector ला नाव ठेवायच नाही👊

#लाडका आणि ती, या दोनच गोष्टी मला #मनसे आवडतात😇 https://t.co/atvJT9tkdX","मझय    ल नव ठवयच नह

लडक आण त य दनच गषट मल मनस आवडतत httpstcoatvJT9tkdX",0
95,Twitter,Hector,ItsAHumanThing,Auto-updates daily Ep-35 is Live on the YouTube channel of Motoro-updates click here to watch:… https://t.co/2nAQU0ylSM,Autoupdates daily Ep35 is   on the   channel of Motoroupdates click here to watch httpstco2nAQU0ylSM,0
96,Twitter,Hector,ItsAHumanThing,"The Innova Crysta has been in the game since long. But with MG pushing out it's Hector Plus, the veteran is in for… https://t.co/xg2rkccJ6d",The   has been in the game since long But with   pushing out its   Plus the veteran is in for httpstcoxg2rkccJ6d,0
97,Twitter,Hector,ItsAHumanThing,It turns out that March 2021 was a bright period for the sales of #MGHector in #India. So how was that?… https://t.co/pq0y8g8nGK,It turns out that March 2021 was a bright period for the sales of    in   So how was that httpstcopq0y8g8nGK,1
98,Twitter,Hector,ItsAHumanThing,@anandmahindra @bhash It should be in category of Jeeps....for sedan car category it always #HondaCity...In FULL FL… https://t.co/dwEiuycmvH,anandmahindra bhash It should be in category of Jeepsfor sedan car category it always  In   FL httpstcodwEiuycmvH,0
99,Twitter,Hector,ItsAHumanThing,Volkswagen Taigun Compact SUV’s production version leaked ahead of official reveal - https://t.co/DAcIIUP7Cr… https://t.co/8bIvxzE6FN,  SUVs production version leaked ahead of official reveal  httpstcoDAcIIUP7Cr httpstco8bIvxzE6FN,-1
100,Twitter,Hector,ItsAHumanThing,"Say #MgHector ,#TataHarrier, #JeepCompass and #CitroenC5 are brothers as they share the same 2.0L Multijet Diesel E… https://t.co/PmYUAkKfe2",Say Mg      and   are brothers as they share the same 20L Multijet   E httpstcoPmYUAkKfe2,1
101,Twitter,Hector,ItsAHumanThing,"Base model price of #Alcazar should be 1 lakh more than base model of #Creta.
As we can see price of base… https://t.co/lOEJMUdvie","Base model price of   should be 1 lakh more than base model of Creta
As we can see price of base httpstcolOEJMUdvie",0
102,Twitter,Hector,ItsAHumanThing,"@MGMotorIn has increased prices of the entire #Hector and #HectorPlus range. Depending on the variant and model, on… https://t.co/v52xePEMgy",  has increased prices of the entire   and   range Depending on the variant and model on httpstcov52xePEMgy,1
103,Twitter,Hector,ItsAHumanThing,"@MGMotorIn has now sold over 50,000 units of the Hector SUVs in India in 21 months. 31,585 units were sold in FY202… https://t.co/56lqdgbZU2",  has now sold over 50000 units of the   SUVs in   in 21 months 31585 units were sold in FY202 httpstco56lqdgbZU2,0
104,Twitter,Hector,ItsAHumanThing,#seltos #kia #kiaseltos #creta #k #kiamotors #xuv #fortuner #scorpio #kiario #harrier #i #picanto #nexon #brezza… https://t.co/OnixYxDYFQ,seltos kia kiaseltos creta k kiamotors xuv fortuner scorpio kiario harrier i picanto nexon brezza httpstcoOnixYxDYFQ,-1
105,Twitter,Hector,ItsAHumanThing,"#MGHector #Cars 
MG Motor India has raised Hector and Hector Plus SUVs prices for the third time this year due to i… https://t.co/UvsEYAEHAB","   Cars 
  Motor   has raised   and   Plus SUVs prices for the third time this year due to i httpstcoUvsEYAEHAB",0
106,Twitter,Hector,ItsAHumanThing,We concluded the weekend with a blast when this Crystal Black MG Hector PLUS drove in for a 9H Ceramic Coating pain… https://t.co/YogWR10Y5s,We concluded the weekend with a blast when this       PLUS drove in for a 9H Ceramic Coating pain httpstcoYogWR10Y5s,-1
107,Twitter,Hector,ItsAHumanThing,@hormazdsorabjee When cars like Toyota didn’t upgrade their Innova.. what a scope it gave many players to dominate #mghector  #hyundai #kia,hormazdsorabjee When cars like   didnt upgrade their Innova what a scope it gave many players to dominate mghector  hyundai kia,-1
108,Twitter,Hector,ItsAHumanThing,"This Easter, let there be hope, peace and love. The MG family, wishes you all a very happy and blessed Easter.… https://t.co/KNN1cotEzB",This Easter let there be hope peace and love The   family wishes you all a very happy and blessed Easter httpstcoKNN1cotEzB,1
109,Twitter,Hector,ItsAHumanThing,"माझ्या #MGHector ला नाव ठेवायच नाही👊

#लाडका आणि ती, या दोनच गोष्टी मला #मनसे आवडतात😇 https://t.co/atvJT9tkdX","मझय    ल नव ठवयच नह

लडक आण त य दनच गषट मल मनस आवडतत httpstcoatvJT9tkdX",0
110,Twitter,Hector,ItsAHumanThing,Auto-updates daily Ep-35 is Live on the YouTube channel of Motoro-updates click here to watch:… https://t.co/2nAQU0ylSM,Autoupdates daily Ep35 is   on the   channel of Motoroupdates click here to watch httpstco2nAQU0ylSM,0
111,Twitter,Hector,ItsAHumanThing,"The Innova Crysta has been in the game since long. But with MG pushing out it's Hector Plus, the veteran is in for… https://t.co/xg2rkccJ6d",The   has been in the game since long But with   pushing out its   Plus the veteran is in for httpstcoxg2rkccJ6d,0
112,Twitter,Hector,ItsAHumanThing,It turns out that March 2021 was a bright period for the sales of #MGHector in #India. So how was that?… https://t.co/pq0y8g8nGK,It turns out that March 2021 was a bright period for the sales of    in   So how was that httpstcopq0y8g8nGK,1
113,Twitter,Hector,ItsAHumanThing,@anandmahindra @bhash It should be in category of Jeeps....for sedan car category it always #HondaCity...In FULL FL… https://t.co/dwEiuycmvH,anandmahindra bhash It should be in category of Jeepsfor sedan car category it always  In   FL httpstcodwEiuycmvH,0
114,Twitter,Hector,ItsAHumanThing,Volkswagen Taigun Compact SUV’s production version leaked ahead of official reveal - https://t.co/DAcIIUP7Cr… https://t.co/8bIvxzE6FN,  SUVs production version leaked ahead of official reveal  httpstcoDAcIIUP7Cr httpstco8bIvxzE6FN,-1
